"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"Lake Gillham","Gillham, Lake",,,"Australia","Water body",139115,"AUS",-54.541209,158.912824,"Named for Mary Gillham (1921-2013) for her significant contribution to Macquarie Island. Mary Gillham was a pioneering naturalist and prolific wildlife author who contributed to scientific research on island ecosystems, including the effects of seabirds on Macquarie Island vegetation.","Small lake ssw of Mount Power in the northern part of Macquarie Island.",,,,,"qb_15mar2005_ps_orc_north_vis.tif",,,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Lake Gillieson","Gillieson, Lake",57,,"Australia","Water body",1225,"AUS",-69.418573136,76.1273036518,,"A lake located on the eastern side of Stornes Peninsula and lying about 1.2 km north-east of Blundell Peak in the Larsemann Hills.Named after David Gillieson, Limnologist, University of New South Wales, who was a member of the 1987 Law Base Summer Field Party.",5330,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Glubokoye","Glubokoye, Lake",,,"Australia","Water body",1268,"AUS",-67.6667,45.8667,,"A small lake just east of Molodezhnaya station in Enderby Land.  Named Ozero Glubokoye (Deep Lake) by the Soviet Antarctic Expedition.",5413,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lake Goodwill","Goodwill, Lake",,,"Australia","Water body",138262,"AUS",-68.5757,78.40155,"In recognition of the international spirit of cooperation in Antarctica, it is named for its close proximity to Lake Druzhby which means friendship in Russian.","A small lake in the SE part of the Vestfold Hills located at the top end of Lake Druzhby. In recognition of the international spirit of cooperation in Antarctica, it is named for its close proximity to Lake Druzhby which means friendship in Russian.",19841,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lake Hand","Hand, Lake",9,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1248,"AUS",-68.5510000453,78.3139999631,"Named for Ray Hand, biologist, Davis, 1977, who worked in this part of the Broad Peninsula and has significantly contributed to the knowledge of the microbiology of the lakes there.","A medium sized lake lying between slight hills in the middle of Broad Peninsula, Vestfold Hills.  It has no outlet and is saline.  One important source of water comes via a waterfall originating in Waterfall Lake.",5959,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake Henderson","Henderson, Lake",330,,"Australia","Water body",134417,"AUS",-67.6980277778,63.0292777778,"The lake has been refered to as Lake Henderson for many years by expeditioners at Mawson station due to its location at the base of Mount Henderson.","It is the largest epiglacial lake in the Framnes Mountains of approximately 85.4 ha in area, has a measured depth of 115 metres, permanent year round ice cover and approximately 40 floating boulders resting on the lake ice surface.",18109,,"AUS","fram25k","Framnes Mountains 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",2000,0,"No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"Lake Ifould","Ifould, Lake",200,,"Australia","Water body",2747,"AUS",-54.622897,158.874468,,,,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Ingham","Ingham, Lake",,,"Australia","Water body",139113,"AUS",-54.538052,158.909476,"Named for Susan Ingham (1927-2005) for her significant contribution to Macquarie Island. Susan lngham both conducted field-based scientific research and supported scientific programs at Macquarie Island. She authored a number of significant papers on wildlife on Macquarie Island which are still cited by researchers today.","Tri-shaped lake wnw of Mount Power in the northern part of Macquarie Island.",,,,,"qb_15mar2005_ps_orc_north_vis.tif",,,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Lake Island","Island, Lake",15,"Metadata for coordinates and origin of topographic data.","Australia","Island",1118,"AUS",-68.5474999288,77.990305487,"So named because of the lake on the island.","An island about 1 km long just north of Flutter Island, and about 4 km north of Davis Station in the Vestfold Hills.  Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37).",8032,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"Lake Jabs","Jabs, Lake",-38,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1279,"AUS",-68.5554999556,78.2668889548,"Named after B.V. Jabs, weather observer (radio) at Davis in 1961.","A lake just east of Club Lake in the Vestfold Hills.  The region was photographed by USN Operation Highjump (1946-47), ANARE (1954, 1957, 1958) and the Soviet Antarctic Expedition (1956).",7012,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake Jack","Jack, Lake",69,,"Australia","Water body",1226,"AUS",-69.4229134636,76.1030040471,"One of a pair of lakes named after nursery rhyme characters.","A cigar shaped lake just to the north of Blundell Peak in the Larsemann Hills.  A field campsite was set up at this lake by members of the 1986-87 ANARE Field Party to allow biological work on a pair of lakes named ""Jack"" and ""Jill"" after the nursery rhyme characters.  There is an associated hill called Tumbledown Hill.",7022,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Jaques","Jaques, Lake",68,,"Australia","Water body",1208,"AUS",-69.4074948979,76.3077430148,"Named after George (Tony) Jaques, Deputy Leader and Meteorological Observer of the 1987 ANARE summer party.","A lake, about 3.5 km south-west of Law Base in the Larsemann Hills, with ice cliffs from the plateau forming its southern shore.",7071,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Jennings","Jennings, Lake",,,"Australia","Water body",1161,"AUS",-70.1453055556,72.5556944444,"So named by USACAN because of its proximity to Jennings Promontory.","A narrow melt lake about 6 km long at the foot of Jennings Promontory on the eastern margin of the Amery Ice Shelf.  Delineated from air photographs taken by USN Operation Highjump (1946-47).",7108,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Lake Jill","Jill, Lake",68,,"Australia","Water body",1213,"AUS",-69.4279285129,76.0888729637,"One of a pair of lakes called ""Jack"" and ""Jill"" after the nursery rhyme characters.  There is an associated hill called Tumbledown Hill.","A lake just to the south-west of Blundell Peak in the Larsemann Hills with its southern end buried under the edge of an ice dome.  Biological work was carried out at this lake, by members of the 1986-87 ANARE field party.",7137,,"AUS","Lars25k","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Lorna","Lorna, Lake",522,,"Australia","Water body",1182,"AUS",-67.7856944444,62.7886666667,"Lorna, wife of John M. Béchervaise, Officer-in-Charge at Mawson in 1955 and 1959","A small meltwater lake between Fearn Hill and Mount Ward in the North Masson Range, Mac.Robertson Land.  Discovered in 1956 by an ANARE Party led by John M. Béchervaise. Named for Lorna, wife of John M. Béchervaise, Officer-in-Charge at Mawson in 1955 and 1959",8650,,"AUS","fram25k","Framnes Mountains 1:25000 Topographic GIS Dataset","Australian Antarctic Division",2000,0,"No","No","No","No","No","No","No","Yes","No","Yes","No","No","No"
"Lake Macpherson","Macpherson, Lake",,,"Australia","Water body",139112,"AUS",-54.535597,158.907782,"Named for Hope Black (nee Macpherson) (1919-2018) for her significant contribution to Macquarie Island. Pioneer scientist and mentor Jessie Hope Black (nee Macpherson) achieved many firsts in her research career. Black’s research in malacology and marine biology has had lasting impact, increasing scientific knowledge of southern Australia and subantarctic environments including Macquarie Island.","Small lake west of Mount Elder in the northern part of Macquarie Island.",,,,,"qb_15mar2005_ps_orc_north_vis.tif",,,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Lake McCallum","McCallum, Lake",-1.8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1189,"AUS",-68.6276944896,78.016888871,"Named after A.T. McCallum, weather observer at Davis in 1969.","A lake, 10 m below sea level, on Mule Peninsula, Vestfold Hills.  The lake was visited by an ANARE geological and biological party in January and February 1972.",9216,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake McNeill","McNeill, Lake",26.5,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1212,"AUS",-68.5279999262,78.3623055607,"Named after A R B McNeill, Physicist at Davis in 1969.","An EW trending lake, about 1/2 km west of Lake Cowan.  An important feature on the overland route from Davis to Platcha.",9350,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake Nicholson","Nicholson, Lake",8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1185,"AUS",-68.61180558,78.2356110326,"Named after R. Nicholson, senior technician radio (meteorology) at Davis in 1971.","A lake about 1.1 km south of Ellis Rapids in the southern part of the Vestfold Hills.",10245,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake Polanskogo","Polanskogo, Lake",14,,"Australia","Water body",1176,"AUS",-66.3183888889,100.505138889,"Named in honour of a member of the drift voyage of an icebound ice-breaker <i>Sedov</i>, radio-operator, Aleksandr Pol'anskij.","Lake Pol'anskogo is in the south-western corner of the Bunger Hills between them and the Apfel Glacier.  The lake contains a number of small islands.  The island was charted by the Soviet Antarctic Expedition in 1956.",11431,,,,"Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Ptichje","Ptichje, Lake",31,"Altidtdue from Russian map Q-47_82_B (SCAR map cat 2986)","Australia","Water body",1168,"AUS",-66.3280277778,100.827583333,,"Bunger Hills.  Charted by the SAE in 1956.",11688,,"AUS","LIMA_E164_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Reid","Reid, Lake",33,,"Australia","Water body",1214,"AUS",-69.3855556,76.3786111,"Named after D. Reid, carpenter at Davis 1986.","An oval lake about 0.4 km north of Law Base in the Larsemann Hills.  It drains southwards into Lake Scandrett.  The water is heavily mineralised and unpleasant to taste.",12005,,,,"Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Reynolds","Reynolds, Lake",,,"Australia","Water body",1229,"AUS",-67.4583,61,"Named for Alan Reynolds, glaciologist, Mawson 1979 who spent several weeks dog sledding to this lake and drilling a hole through the ice to sample it","The largest freshwater lake on Chapman Ridge in Kemp Land.  It overflows to the sea.",12083,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lake Scandrett","Scandrett, Lake",19,,"Australia","Water body",1215,"AUS",-69.3930556,76.3711111,"Named after Graham Scandrett, Senior Helicopter Pilot during the establishment of Law Base in 1986.","A long lake lying between very steep sided cliffs in the Larsemann Hills.",12787,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Shchel","Shchel, Lake",,,"Australia","Water body",1166,"AUS",-66.2246111111,101.047027778,,"Bunger Hills.  Charted by the SAE in 1956.",13114,,"AUS","E164_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Sibthorpe","Sibthorpe, Lake",58,,"Australia","Water body",1216,"AUS",-69.3966667,76.3886111,"Named after Richard Sibthorpe, Radio Technical Officer at Davis in 1986, who prepared all the radio equipment for Law Base.","A very shallow round lake to the north-west of the Russian Progress Base in the Larsemann Hills and about 0.7 km south-east of Law Base.",13241,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Smith","Smith, Lake",,,"Australia","Water body",1236,"AUS",-66.1211666667,101.28175,,"A small lake on a rocky peninsula in the north-east part of Bunger Hills.  Delineated from air photographs taken by USN Operation Highjump and named by USACAN.",13534,,,,"LIMA","USGS",50000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Spate","Spate, Lake",68,,"Australia","Water body",1217,"AUS",-69.4179005319,76.103358807,"Named after Andrew Spate, Limnologist, New South Wales National Parks and Wildlife Service, who was a member of the 1987 ANARE Law Base Summer Field Party.","A lake on Stornes Peninsula in the Larsemann Hills lying about 0.9 km north of Blundell Peak.",13775,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Lake Stinear","Stinear, Lake",-14,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1234,"AUS",-68.5604999304,78.1253889624,"Named after Bruce H. Stinear, geologist at Davis and Mawson in 1957.","A salt-water lake about 6 km ENE of Davis station in the Vestfold Hills.  It is about 3 km long and 0.5 km wide, elongated east-west.  Photographed by USN Operation Highjump (1946-47).  First visited by ANARE party led by Phillip Law in January, 1955.",14046,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Terrasovoe","Terrasovoe, Lake",173,,"Australia","Water body",134453,"AUS",-70.5588888889,68.0268055556,,"A lake approximately 1 kilometre wide and 2 kilometres long, shaped like a tear drop in the north eastern sector of Loewe Massif. It was first named by Russia and shown on their maps in 1978 with Australia formally accepting the name in September 2006.",14564,,,,"SPOT 5 11 January 2004","CNES",25000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lake Tiobunga","Tiobunga, Lake",177,,"Australia","Water body",2728,"AUS",-54.696752,158.82109,,,,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lake Verkhneye","Verkhneye, Lake",51,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1191,"AUS",-68.5926944979,78.5156944493,"Named Ozero Verkhneye (Upper Lake) by the Soviet Expedition.","A lake in the south-eastern part of the Vestfold Hills, about 2 km north-east of Crooked Lake.  Photographed by USN Operation Highjump (1946-47), the Soviet Antarctic Expedition in 1956 and ANARE in 1957 and 1958.",15405,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Lake Wilson","Wilson, Lake",,,"Australia","Water body",1197,"AUS",-79.8167,159.55,,"An ice-covered lake, 180 m above sea level, about 7 km north-east of Diamond Hill in the Brown Hills.  Discovered by the Victoria University of Wellington Antarctic Expedition (1962-63).  Named after Professor A.T. Wilson of the Victoria University of Wellington who has investigated lakes in the ice-free valleys west of McMurdo Sound.",16123,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lake Zvezda","Zvezda, Lake",15.4,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1198,"AUS",-68.5380000436,78.4560000201,"Named Ozero Zvezda (Lake Star) by the Soviet Expedition.","An irregular-shaped lake in the eastern part of the Vestfold Hills.  Photographed by USN Operation Highjump (1946-47), the Soviet Antarctic Expedition in 1956 and ANARE in 1957 and 1958.",16543,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Lambert Deep","Lambert Deep",-1000,,"Australia","Deep",392,"AUS",-68.5,70.5166944444,,"A narrow bathymetric deep, deeper than 1000 m about 55 nautical miles south from Fram Bank.  The Lambert Deep apparently extends from under the western part of the Amery Ice shelf for at least 25 km to the ENE.  Named because of the proximity of the feature to the Lambert Glacier.",8043,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Lambert Glacier","Lambert Glacier",,,"Australia","Glacier",585,"AUS",-73.0653,67.4898,"Named after B.P. Lambert, Director of the (then) National Mapping in the Australian Department of National Development.","A major glacier draining a large area of the plateau to the east and south of the Prince Charles Mountains, and extending northward to the Amery Ice Shelf. Discovered by ANARE during photo-survey flights in 1956.",8044,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Lamberts Peak","Lamberts Peak",,,"Australia","Peak",1971,"AUS",-72.7333,74.85,"G. Lamberts, topographic draughtsman","A small peak about 16 km NNW of Mount Harding in the Grove Mountains, Princess Elizabeth Land.  Plotted from ANARE air photographs.  Named after G. Lamberts, topographic draughtsman with the (then) Division of National Mapping.",8046,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Lambeth Bluff","Lambeth Bluff",35,,"Australia","Bluff",177,"AUS",-53.1833333333,73.5976388889,,"A rock bluff on the south coast just east of Fiftyone Glacier, Heard Island.",,,,,"WorldView-2 17/01/ 2010 Satellite Cat ID 2092","DigitalGlobe",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Lambing Gully","Lambing Gully",20,,"Australia","Gully",2583,"AUS",-54.496764,158.94296,"Descriptive as this gully was favoured in the early years by the ewes at lambing time.  There are no longer sheep on the Island.","The only gully on Wireless Hill with running water. This gully was favoured in the early years by the ewes at lambing time.  There are no longer sheep on the Island.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Lamykin Dome","Lamykin Dome",,,"Australia","Dome",413,"AUS",-67.5,46.75,"S.M. Lamykin, Soviet hydrographer","An ice dome, 526 m above sea level, on Tange Promontory, Enderby Land.  Photographed by ANARE in 1956 and the Soviet Antarctic Expedition in 1957.  Named by the Soviet Expedition after S.M. Lamykin, Soviet hydrographer.",8056,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Landing Beach","Landing Beach",5,,"Australia","Beach",2584,"AUS",-54.50278,158.935461,"descriptive","The beach on the eastern side of the Isthmus at Macquarie Island which was used for landing parties on the Island.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Landing Bluff","Landing Bluff",119,,"Australia","Bluff",184,"AUS",-69.7422612194,73.7102630222,,"A rock mass with a steep slope on the eastern side, with several small outcrops just to the south-west.  It is located on the south-west part of Sandefjord Bay, about 26 km west of Mount Caroline Mikkelsen. Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Strandknatten (The Strand Crag).  A survey cairn was erected on the highest point by ANARE in 1968.  So named because of its proximity to the landing place for stores and equipment for the ANARE Amery Ice Shelf party in January-March, 1968.",8069,,"AUS",,"Geoscience Australia Survey Control Database","Geoscience Australia",,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Landmark Point","Landmark Point",,,"Australia","Point",2196,"AUS",-67.5228333333,63.9338611111,,"A rocky point on the Mawson Coast of Mac.Robertson Land about one mile ESE of Safety Island.  Plotted from ANARE air photographs taken in 1956. Visited by ANARE parties in 1962 and 1965.  From this point access to the plateau is possible.  It is almost due south of Auster Rookery and affords an excellent landmark if approaching the penguin colony along the coast from Mawson.",8073,,,,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Landon Promontory","Landon Promontory",,,"Australia","Promontory",1286,"AUS",-69.2,69.1666666667,,"A broad, domed ice promontory on the western side of the Amery Ice Shelf.  Plotted from air photographs taken from an ANARE aircraft in 1956.  The region was first visited by an ANARE party led by D.R. Carstens in November, 1962.  Named after I. Landon-Smith, glaciologist at Mawson in 1962, a member of the field party.",8075,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS",30000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Land's End","Land's End",0,"Location per AAE map","Australia","Point",2201,"AUS",-67.0123611111,142.656472222,"The feature was named by Douglas Mawson during the Australasian Antarctic Expedition, 1911-1914 and appears on official maps of the expedition. Most likely named after the British headland Land's End. This headland is at one end of the longest distance between two inhabited British points on the mainland, with John O'Groats to the northwest. Also see place name John O'Groats.","The westernmost point of land on the rocky cape on which the base was built at Cape Denison.",8064,,,,"IKONOS captured Jan 2001","Australian Antarctic Division",2000,0,"No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No"
"Lang Island","Lang Island",,,"Australia","Island",1119,"AUS",-66.9636,57.7462,,"An island just over 2 km long and about 110 m high, about 3 km east of the Øygarden Group.",8081,,,,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Langdon Bay","Langdon Bay",0,,"Australia","Bay",2585,"AUS",-54.525602,158.864346,"Lieutenant William Langdon, Royal Navy, who visited the Island in March 1822 and lodged with the Admiralty the sketch chart prepared during this visit.","The bay between Unity Point and Langdon Point on the west coast of Macquarie Island. The name was first used on the 1917 Admiralty Chart and commemorates Lieutenant William Langdon, Royal Navy, who visited the Island in March 1822 and lodged with the Admiralty the sketch chart prepared during this visit.  This early map was not used as a source of names until the preparation of the 1917 edition of the Admiralty Chart.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Langdon Point","Langdon Point",0,,"Australia","Point",2587,"AUS",-54.531361,158.854245,"Lieutenant William Langdon, Royal Navy who visited the Island in March 1822 and lodged with the Admiralty the sketch chart prepared during this visit. This early map was not used as a source of names until the preparation of the 1917 edition of the Admiralty Chart.","The name was first used on the 1917 Admiralty Chart and commemorates Lieutenant William Langdon, Royal Navy, who visited the Island in March 1822 and lodged with the Admiralty the sketch chart prepared during this visit.  This early map was not used as a source of names until the preparation of the 1917 edition of the Admiralty Chart.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Larc Cove","Larc Cove",0,,"Australia","Cove",375,"AUS",-53.0473055556,72.6068888889,,"This was the site of the first seaborne landing on the Island.  The landing was made by a LARC (amphibious vehicle) from the MV <i>Cape Pillar</i> during the Australian National Mapping Expedition 1980. A small sheltered cove at the head of Williams Bay, McDonald Island. It has a sandy beach at low tide and provides the best landing place on the Island.  There is access to the main part of the Island by a penguin ramp at the northern end of the beach. With the volcanic eruption On McDonald Island in 2003 the original LARC Cove disappeared. Name recycled.",,,"AUS","SceneID_1010010001C99801","DigitalGlobe",,5000,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"Larelar Lake","Larelar Lake",2,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1253,"AUS",-68.5233000236,78.0906000272,,"A circular freshwater lake south of Powell Point in the Vestfold Hills.  ""Larelar"" is Aboriginal for circular or round and the lake is named for its shape.",8132,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Lars Christensen Coast","Lars Christensen Coast",,,"Australia","Coast",353,"AUS",-69,69,,"The coast of Mac.Robertson Land between Murray Monolith and 71 degrees E.  This coast was explored and charted in January, 1931, by Norwegian whalers employed by Lars Christensen of Sandefjord, Norway, after whom it was named.",8139,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Larsemann Hills","Larsemann Hills",148,,"Australia","Hill",686,"AUS",-69.394883109,76.1733353171," Called Larsemann Fjellene (The Larsemann Mountains) by Norwegian cartographers.","A group of bare, rounded hills from 80 m to 180 m high, which extends along the Ingrid Christensen Coast of Princess Elizabeth Land for about 15 km. Discovered in February, 1935, by a Norwegian expedition under Captain Klarius Mikkelsen.  Mapped from air photographs taken by the Lars Christensen Expedition (1936-37).  First visited and position fixed by M.M. Fisher, ANARE surveyor in 1957.",8142,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Larsen Bank","Larsen Bank",0,"Location checked against RAN soundings and chart AUS601","Australia","Bank",31,"AUS",-66.26522222,110.5264444,,"A bank with less than 18 m of water, about 3 km from the summit of Shirley Island, Windmill Islands. The bank is about 90 m long (north-south) and 45 m wide, least depth found was 16 m. Charted in January 1962 during a survey of Newcomb Bay and approaches by d' A.T. Gale, hydrographic surveyor with the ANARE Expedition on the MV Thala Dan led by Phillip Law. Named after Ludvig Larsen, second mate on the M.V. Thala Dan in 1962.  ",8143,,"AUS","Wind50K","Windmill Islands 1:50000 GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Laseron Bay","Laseron Bay",,,"Australia","Bay",140471,"AUS",-68.5357,78.0485,"Named for Charles Francis Laseron who joined the Australasian Antarctic Expedition under Sir Douglas Mawson in 1911 as taxidermist, biologist and scientific assistant.","The bay is a crescent shaped shallow marine embayment on the western side of Broad Peninsula in the Vestfold Hills, between Plough Island and the peninsula.",20491,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Laseron Islands","Laseron Islands",,,"Australia","Island",1139,"AUS",-67.0055555556,142.833333333,,"A group of small rocky islands about 5 km ENE of Cape Denison, George V Land. Discovered in January, 1912, by the Main Base party of AAE under Sir Douglas Mawson, who named them after C.F. Laseron, a member of the AAE expedition.",8164,,"AUS","E127_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",25000,0,"No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
