"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"Efremova Island","Efremova Island",,,"Australia","Island",2609,"AUS",-68.8113888889,77.9222222222,,"A large island to the east of Winterover Bay in the Rauer Group.",4104,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",25000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Eilers Peak","Eilers Peak",,,"Australia","Peak",138227,"AUS",-80.06503088,159.4800438,"Named by US-ACAN after D.H. Eilers, a member of the USARP glaciological party during RISP, 1974-75 field season.","A prominent peak (c.1480 m) located 4.7 km north of Rand Peak in central Nebraska Peaks. ",19838,,"NZ",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Einstøding Islands","Einstøding Islands",,,"Australia","Island",1081,"AUS",-67.474651,61.665498,"Mapped by Norwegian cartographers from air photos taken by the Lars Christensen Expedition, 1936-37, and named Einstödingane. Einstøding” means something like recluse, loner or outsider in Norwegian. ","A group of three small islands, 6 km north of the Stanton Group off Mac.Robertson Land.  Probably first seen by BANZARE (1930-31) under Sir Douglas Mawson.",4126,,,,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Ekho Lake","Ekho Lake",-2,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1283,"AUS",-68.5211111726,78.2699999832,"Named Ozero Ekho (Echo Lake) by the Soviet Antarctic Expedition.","A lake on the northern side of Broad Peninsula, Vestfold Hills, about 2 km north of Club Lake.  Photographed by USN Operation Highjump (1946-47), the Soviet Antarctic Expedition in 1956 and ANARE in 1957 and 1958.",4140,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Elbow Valley","Elbow Valley",700,,"Australia","Valley",2757,"AUS",-71.4680555556,67.6861111111,,"Valley trending north-northeast from southern uplands (at latitude 71° 30'' 20'' S and longitude 67° 35'' E ) where valley then turns sharply (about 90 degrees at latitude 71° 28'' 05"" S and longitude 67° 41'' 10""E ) to trend east southeast to eastern boundary of Fisher Massif with the Lambert Glacier at latitude 71° 30'' 20"" S and longitude 67° 35'' E. The valley provides an excellent route for travel about Fisher Massif.",18732,,,,"LIMA - Landsat Image Mosaic Antarctica ","USGS - United States Geological Survey",30000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Elcheikh Saddle","Elcheikh Saddle",,,"Australia","Saddle",139165,"AUS",-67.3894,112.3534,"Named for Alan Elcheikh (1960-2019), an engineer who specialised in glacial ice drilling, specifically ice core drills. As lead engineer driller, he managed large field projects for the Australian Antarctic Program including the Law Dome deep drilling project over several seasons. In recognition of his service, he was awarded the Australian Antarctic Medal.","Elcheikh Saddle is the low lying ice feature between Law Dome and the Antarctic plateau. The saddle runs from the Totten Glacier to the Vanderfold Glacier.",20112,,,,"LIMA",,,0,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Eld Peak","Eld Peak",,,"Australia","Peak",2029,"AUS",-69.3333,157.25,,"A mountain about 19 km south of Magga Peak in Oates Land.  On 16 January 1840, Passed Midshipmen Eld and Reynolds on the <i>Peacock</i>, one of the ships of the USEE under Wilkes, reported hills in this direction.  The hills were plotted on Wilkes' chart in about 67degrees S, 156 degrees E.  It has not been possible to positively identify the feature named Eld Peak by Wilkes and the name has therefore been arbitrarily applied to this feature.",4153,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Elephant Lake","Elephant Lake",,,"Australia","Water body",140187,"AUS",-68.47223,78.43609,"Looks like an elephant's head in profile, with a trunk to the west and an ear to the north.","A steep sided lake to the immediate north of Lichen Lake in the Vestfold Hills.",20326,,,,"Digital Globe Imagery",,,0,"No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Elephant Moraine","Elephant Moraine",,,"Australia","Moraine",1322,"AUS",-76.3,157.2333,"descriptive - looks like an elephant's head","An ice surface moraine some 5.1 km in length and 2.24 km  in width lying on the East Antarctic ice sheet about 67 km north west of the Allan Hills in Victoria Land.  A 1973 NASA Landsat image of Antarctica first detected what later proved to be an extensive snow-free blue ice area along the coastal margin and inland from the Transantarctic Mountains near the Prince Albert Mountains section.  Elephant Moraine, a small part of this area, was later photographed by a USN VXE-6 flight in 1975.  The name is descriptive in that when viewed in plan the feature has the appearance of an elephant's head with its trunk pointing north.  The name has been established in scientific literature by geophysical researchers searching for meteorites and geologists describing the origin of rock clasts imbedded in the ice of this feature.",4164,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Elephant Reef","Elephant Reef",,,"Australia","Reef",138305,"AUS",-53.1191,73.80134,"The large number of Elephant seals that use to haul out in groups along Elephant Spit.","An approximately 4500 met re long submerged reef formed following the erosion of Elephant Spit, Heard Island.",,,,,"WorldView 2",,"50,000",0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Elephant Spit","Elephant Spit",2,,"Australia","Spit",2483,"AUS",-53.1194444444,73.7866666667,,"A seven kilometre long sand and shingle spit extending to the east of Heard Island.  It is low lying being seldom more than two metres above high water.  It is wave washed and the sea breaks through on occasions.  A large number of Elephant seals haul out in groups on both sides of the Spit.",,,,,"WorldView-2 17/01/ 2010 Satellite Cat ID 2092","DigitalGlobe",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Eliza Beach","Eliza Beach",,,"Australia","Beach",139177,"Aus",-52.97539,73.30939,"Named after the sealing ship, Eliza which sailed from New Bedford, United States and operated at Heard Island from 1855-1882.","Beach located on Sydney Cove, Laurens Peninsula, Heard Island",,,,"WV2 21Feb2016 & 2Mar2017",,"Australian Antarctic Division",,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Elizabeth and Mary Point","Elizabeth and Mary Point",0,,"Australia","Point",2666,"AUS",-54.509569,158.876033,,,,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Elliot Reef","Elliot Reef",0,,"Australia","Reef",2667,"AUS",-54.475843,158.939653,,"William Elliot, master of the ship 'Emerald', traded with Macquarie Island in 1821-2.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Ellis Fjord","Ellis Fjord",0,"Metadata for coordinates and origin of topographic data.","Australia","Fjord",421,"AUS",-68.603000052,78.1319999397,"Photographed by the Lars Christensen Expedition (1936-37), and plotted by Norwegian cartographers as a bay and a remnant lake which were called Mulvik (Snout Bay) and Langevatnet (The Long Lake) respectively.  Analysis by Dr. John Roscoe of air photos taken by USN Operation Highjump (1946-47) showed these two features to be connected.  The feature was renamed Ellis Fjord by Roscoe after Edwin E. Ellis, who served as aerial photographer on USN Operation Highjump in this area.  First visited by an ANARE party led by Phillip Law on 31 January, 1955.","A narrow marine inlet about 12km long, between Mule Peninsula and Broad Peninsula in the Vestfold Hills on the Ingrid Christensen Coast. It extends from McLean Point to Ellis Rapids where there is a distinct change in elevation separating the marine and freshwater",4197,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Ellis Narrows","Ellis Narrows",0,"Metadata for coordinates and origin of topographic data.","Australia","Strait",2501,"AUS",-68.6163054903,77.9923888936,,"A narrow strait in the Vestfold Hills with a tidal race in Ellis Fjord.",4199,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Ellis Rapids","Ellis Rapids",3,"Metadata for coordinates and origin of topographic data.","Australia","Watercourse",2254,"AUS",-68.5994999355,78.2301111608,"Named from Ellis Fjord by the field party.","A meltwater stream flowing rapidly in summer from the lakes into the head of Ellis Fjord, Vestfold Hills.    The rapids were crossed by an ANARE party who erected a flying fox across it in January 1972.",4200,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Ellyard Nunatak","Ellyard Nunatak",,,"Australia","Nunatak",1759,"AUS",-70.3171805556,64.8884833333,,"A nunatak on the northern side of the Scylla Glacier, about 13 km SSE of Mount B+echervaise in the Athos Range, Prince Charles Mountains.  Plotted from ANARE air photographs. Named after D.G. Ellyard, physicist at Mawson in 1966.",4210,,"AUS","E132_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",25000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Else Nunataks","Else Nunataks",,,"Australia","Nunatak",1750,"AUS",-67.35,55.6667,"H. Else, pilot with the ANARE Expedition on the <I>Nella Dan</I>, 1965","A group of six low outcrops of partly snow-covered rock about 12 km west of Rayner Peak in Kemp Land.   Plotted from ANARE air photographs.  Named after H. Else, pilot with the ANARE Expedition on the <I>Nella Dan</I>, 1965, led by Phillip Law.",4212,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Else Platform","Else Platform",,,"Australia","Platform",2138,"AUS",-70.3938055556,68.7581111111,,"An elevated, flat-topped mass of rock at the northern end of Jetty Peninsula, Mac.Robertson Land.   The feature was the site of a survey station occupied by M. Rubeli, surveyor with the ANARE Prince Charles Mountains survey in 1969. Named after H. Else, helicopter pilot with the survey.",4213,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Ely Nunatak","Ely Nunatak",,,"Australia","Nunatak",1761,"AUS",-72.1293611111,66.4898611111,,"A small, dark-coloured nunatak about 7 km north of Mount Izabelle in the Prince Charles Mountains.  The position of the feature was fixed by intersection from geodetic survey stations in 1971,.  Named after J. Ely, technical officer (survey) with the ANARE Prince Charles Mountains survey in 1971.",4218,,,,"LIMA - Landsat Image Mosaic Antarctica ","USGS - United States Geological Survey",30000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
